Loading checkpoint shards: 100%|██████████████████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:33<00:00,  8.38s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,539,700,480
TRAINABLE PARAMS: 190,164,736 (3.4328%)
------------------------------
 > LLM LoRA Params (Trainable):      6,815,744
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 43,008,000
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 43,008,000
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,851,527,680
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                                        

{'loss': 1.843, 'grad_norm': 5.413206577301025, 'learning_rate': 9.125e-05, 'loss/total_loss': 0.4755434989929199, 'loss/lm_loss': 0.4755434989929199, 'epoch': 0.08}
{'loss': 1.8262, 'grad_norm': 5.261690616607666, 'learning_rate': 9.375e-05, 'loss/total_loss': 0.48649988174438474, 'loss/lm_loss': 0.48649988174438474, 'epoch': 0.09}
{'loss': 1.6884, 'grad_norm': 5.387794494628906, 'learning_rate': 9.625000000000001e-05, 'loss/total_loss': 0.4226508140563965, 'loss/lm_loss': 0.4226508140563965, 'epoch': 0.09}
{'loss': 1.5683, 'grad_norm': 4.520163536071777, 'learning_rate': 9.875000000000002e-05, 'loss/total_loss': 0.40581212043762205, 'loss/lm_loss': 0.40581212043762205, 'epoch': 0.09}
{'loss': 1.4784, 'grad_norm': 5.00758171081543, 'learning_rate': 9.999810878281263e-05, 'loss/total_loss': 0.3727090835571289, 'loss/lm_loss': 0.3727090835571289, 'epoch': 0.09}
{'loss': 1.457, 'grad_norm': 4.502004623413086, 'learning_rate': 9.999432634843786e-05, 'loss/total_loss': 0.37368338108062743, 'loss/lm_loss': 0.37368338108062743, 'epoch': 0.1}
{'loss': 1.3217, 'grad_norm': 5.210766315460205, 'learning_rate': 9.999054391406309e-05, 'loss/total_loss': 0.3318027019500732, 'loss/lm_loss': 0.3318027019500732, 'epoch': 0.1}
{'loss': 1.3068, 'grad_norm': 6.637199878692627, 'learning_rate': 9.998676147968833e-05, 'loss/total_loss': 0.33076064586639403, 'loss/lm_loss': 0.33076064586639403, 'epoch': 0.1}
{'loss': 1.1691, 'grad_norm': 5.505357265472412, 'learning_rate': 9.998297904531358e-05, 'loss/total_loss': 0.26945540904998777, 'loss/lm_loss': 0.26945540904998777, 'epoch': 0.1}
{'loss': 1.2004, 'grad_norm': 5.017797470092773, 'learning_rate': 9.99791966109388e-05, 'loss/total_loss': 0.2989288330078125, 'loss/lm_loss': 0.2989288330078125, 'epoch': 0.1}
{'loss': 1.1504, 'grad_norm': 4.7089762687683105, 'learning_rate': 9.997541417656405e-05, 'loss/total_loss': 0.25687694549560547, 'loss/lm_loss': 0.25687694549560547, 'epoch': 0.11}
{'loss': 1.1778, 'grad_norm': 4.354719638824463, 'learning_rate': 9.997163174218928e-05, 'loss/total_loss': 0.2823359966278076, 'loss/lm_loss': 0.2823359966278076, 'epoch': 0.11}
{'loss': 1.0575, 'grad_norm': 4.269005298614502, 'learning_rate': 9.99678493078145e-05, 'loss/total_loss': 0.2606972217559814, 'loss/lm_loss': 0.2606972217559814, 'epoch': 0.11}
{'loss': 0.9696, 'grad_norm': 4.060652732849121, 'learning_rate': 9.996406687343975e-05, 'loss/total_loss': 0.25603926181793213, 'loss/lm_loss': 0.25603926181793213, 'epoch': 0.11}
                                                                                                                                                                                        
{'eval_loss': 1.288266658782959, 'eval_cer': 0.4697334015981276, 'eval_wer': 0.6403518633016694, 'eval_runtime': 1180.0847, 'eval_samples_per_second': 2.264, 'eval_steps_per_second': 0.142, 'epoch': 0.11}
{'loss': 0.9753, 'grad_norm': 7.475606441497803, 'learning_rate': 9.996028443906499e-05, 'loss/total_loss': 0.2587888240814209, 'loss/lm_loss': 0.2587888240814209, 'epoch': 0.12}
{'loss': 0.9084, 'grad_norm': 4.09130334854126, 'learning_rate': 9.995650200469022e-05, 'loss/total_loss': 0.19381078481674194, 'loss/lm_loss': 0.19381078481674194, 'epoch': 0.12}
{'loss': 0.978, 'grad_norm': 10.31432819366455, 'learning_rate': 9.995271957031545e-05, 'loss/total_loss': 0.24545321464538575, 'loss/lm_loss': 0.24545321464538575, 'epoch': 0.12}
{'loss': 0.8897, 'grad_norm': 3.6818735599517822, 'learning_rate': 9.99489371359407e-05, 'loss/total_loss': 0.20308496952056884, 'loss/lm_loss': 0.20308496952056884, 'epoch': 0.12}
{'loss': 0.9203, 'grad_norm': 3.4004368782043457, 'learning_rate': 9.994515470156594e-05, 'loss/total_loss': 0.25381309986114503, 'loss/lm_loss': 0.25381309986114503, 'epoch': 0.12}
{'loss': 0.8859, 'grad_norm': 4.100878715515137, 'learning_rate': 9.994137226719116e-05, 'loss/total_loss': 0.21640095710754395, 'loss/lm_loss': 0.21640095710754395, 'epoch': 0.13}
{'loss': 0.8967, 'grad_norm': 3.7333598136901855, 'learning_rate': 9.993758983281641e-05, 'loss/total_loss': 0.2266871452331543, 'loss/lm_loss': 0.2266871452331543, 'epoch': 0.13}
{'loss': 0.9035, 'grad_norm': 3.7511303424835205, 'learning_rate': 9.993380739844164e-05, 'loss/total_loss': 0.22070136070251464, 'loss/lm_loss': 0.22070136070251464, 'epoch': 0.13}
{'loss': 0.8615, 'grad_norm': 4.741565704345703, 'learning_rate': 9.993002496406688e-05, 'loss/total_loss': 0.22993078231811523, 'loss/lm_loss': 0.22993078231811523, 'epoch': 0.13}
{'loss': 0.8341, 'grad_norm': 3.7342398166656494, 'learning_rate': 9.992624252969212e-05, 'loss/total_loss': 0.22866666316986084, 'loss/lm_loss': 0.22866666316986084, 'epoch': 0.14}
{'loss': 0.8084, 'grad_norm': 3.4869792461395264, 'learning_rate': 9.992246009531735e-05, 'loss/total_loss': 0.2162642478942871, 'loss/lm_loss': 0.2162642478942871, 'epoch': 0.14}
{'loss': 0.7596, 'grad_norm': 8.732913970947266, 'learning_rate': 9.991867766094258e-05, 'loss/total_loss': 0.2019893169403076, 'loss/lm_loss': 0.2019893169403076, 'epoch': 0.14}
