Loading checkpoint shards: 100%|████████████████████████████████████████████████████████████████████████████████████████████████████████████| 4/4 [00:53<00:00, 13.40s/it]
------------------------------------------------------------------------------------------
TOTAL PARAMS: 5,511,386,880
TRAINABLE PARAMS: 161,851,136 (2.9367%)
------------------------------
 > LLM LoRA Params (Trainable):      0
 > Whisper LoRA Params (Trainable): 0
 > Downsampler Params (Frozen): 8,195,840
 > Adapter Params (Frozen): 21,510,144
 > Cross Attention Params (Trainable): 132,145,152
 > CTC Head Params (Trainable): 0
 > Audio Head Params (Trainable): 0
 > Duration Token Params (Trainable): 0
 > Base LLM (Frozen):            4,712,566,784
 > Whisper (Frozen):     636,968,960
==================================================


--- Module Parameters ---
Downsampler Params: 8,195,840
Adapter Params: 21,510,144
Cross-Attention Params: 132,145,152
CTC Head Params: 0
Audio Head Params: 0
Duration Params: 0
Whisper Params: 636,968,960
LLM Params: 4,844,711,936
----------------------------
[34m[1mwandb[0m: [33mWARNING[0m The `run_name` is currently set to the same value as `TrainingArguments.output_dir`. If this was not intended, please specify a different run name by setting the `TrainingArguments.run_name` parameter.
                                                                                                                                                                          
{'loss': 2.9029, 'grad_norm': 9.695253372192383, 'learning_rate': 9.200000000000001e-05, 'loss/total_loss': 0.7255282402038574, 'loss/lm_loss': 0.7255282402038574, 'epoch': 0.08}
{'loss': 2.8803, 'grad_norm': 8.726305961608887, 'learning_rate': 9.449999999999999e-05, 'loss/total_loss': 0.7403185367584229, 'loss/lm_loss': 0.7403185367584229, 'epoch': 0.09}
{'loss': 2.6958, 'grad_norm': 10.020914077758789, 'learning_rate': 9.7e-05, 'loss/total_loss': 0.6970127582550049, 'loss/lm_loss': 0.6970127582550049, 'epoch': 0.09}
{'loss': 2.604, 'grad_norm': 13.596555709838867, 'learning_rate': 9.95e-05, 'loss/total_loss': 0.6715542793273925, 'loss/lm_loss': 0.6715542793273925, 'epoch': 0.09}
{'loss': 2.4924, 'grad_norm': 8.749943733215332, 'learning_rate': 9.99969740525002e-05, 'loss/total_loss': 0.6161298751831055, 'loss/lm_loss': 0.6161298751831055, 'epoch': 0.09}
{'loss': 2.406, 'grad_norm': 12.905524253845215, 'learning_rate': 9.999319161812542e-05, 'loss/total_loss': 0.6161006450653076, 'loss/lm_loss': 0.6161006450653076, 'epoch': 0.1}
{'loss': 2.1801, 'grad_norm': 11.077658653259277, 'learning_rate': 9.998940918375067e-05, 'loss/total_loss': 0.5803093910217285, 'loss/lm_loss': 0.5803093910217285, 'epoch': 0.1}
{'loss': 2.202, 'grad_norm': 11.246230125427246, 'learning_rate': 9.998562674937591e-05, 'loss/total_loss': 0.545954704284668, 'loss/lm_loss': 0.545954704284668, 'epoch': 0.1}
{'loss': 1.9281, 'grad_norm': 9.118754386901855, 'learning_rate': 9.998184431500114e-05, 'loss/total_loss': 0.46211881637573243, 'loss/lm_loss': 0.46211881637573243, 'epoch': 0.1}
{'loss': 1.9757, 'grad_norm': 10.946609497070312, 'learning_rate': 9.997806188062637e-05, 'loss/total_loss': 0.4626375675201416, 'loss/lm_loss': 0.4626375675201416, 'epoch': 0.1}
{'loss': 1.9207, 'grad_norm': 9.045656204223633, 'learning_rate': 9.997427944625162e-05, 'loss/total_loss': 0.4177825927734375, 'loss/lm_loss': 0.4177825927734375, 'epoch': 0.11}
{'loss': 1.8569, 'grad_norm': 8.725446701049805, 'learning_rate': 9.997049701187685e-05, 'loss/total_loss': 0.4422365665435791, 'loss/lm_loss': 0.4422365665435791, 'epoch': 0.11}
{'loss': 1.7657, 'grad_norm': 11.09035587310791, 'learning_rate': 9.996671457750208e-05, 'loss/total_loss': 0.43212251663208007, 'loss/lm_loss': 0.43212251663208007, 'epoch': 0.11}
{'loss': 1.6212, 'grad_norm': 6.890171527862549, 'learning_rate': 9.996293214312732e-05, 'loss/total_loss': 0.4252466678619385, 'loss/lm_loss': 0.4252466678619385, 'epoch': 0.11}
                                                                                                                                                                          
{'eval_loss': 2.0299489498138428, 'eval_cer': 0.5632827722170274, 'eval_wer': 0.8013511979107528, 'eval_runtime': 1040.0716, 'eval_samples_per_second': 2.569, 'eval_steps_per_second': 0.161, 'epoch': 0.11}
{'loss': 1.5624, 'grad_norm': 10.551769256591797, 'learning_rate': 9.995914970875255e-05, 'loss/total_loss': 0.4167386531829834, 'loss/lm_loss': 0.4167386531829834, 'epoch': 0.12}
{'loss': 1.6277, 'grad_norm': 13.800643920898438, 'learning_rate': 9.99553672743778e-05, 'loss/total_loss': 0.35430002212524414, 'loss/lm_loss': 0.35430002212524414, 'epoch': 0.12}
{'loss': 1.5338, 'grad_norm': 5.907200813293457, 'learning_rate': 9.995158484000304e-05, 'loss/total_loss': 0.39418578147888184, 'loss/lm_loss': 0.39418578147888184, 'epoch': 0.12}
{'loss': 1.4867, 'grad_norm': 8.104948997497559, 'learning_rate': 9.994780240562827e-05, 'loss/total_loss': 0.3678508043289185, 'loss/lm_loss': 0.3678508043289185, 'epoch': 0.12}
{'loss': 1.4747, 'grad_norm': 6.40926456451416, 'learning_rate': 9.99440199712535e-05, 'loss/total_loss': 0.39244933128356935, 'loss/lm_loss': 0.39244933128356935, 'epoch': 0.12}
{'loss': 1.4647, 'grad_norm': 7.238157749176025, 'learning_rate': 9.994023753687874e-05, 'loss/total_loss': 0.35933244228363037, 'loss/lm_loss': 0.35933244228363037, 'epoch': 0.13}
{'loss': 1.3723, 'grad_norm': 5.537886142730713, 'learning_rate': 9.993645510250398e-05, 'loss/total_loss': 0.33844220638275146, 'loss/lm_loss': 0.33844220638275146, 'epoch': 0.13}
{'loss': 1.494, 'grad_norm': 8.769148826599121, 'learning_rate': 9.993267266812921e-05, 'loss/total_loss': 0.40598311424255373, 'loss/lm_loss': 0.40598311424255373, 'epoch': 0.13}
{'loss': 1.3266, 'grad_norm': 6.198576927185059, 'learning_rate': 9.992889023375444e-05, 'loss/total_loss': 0.3496060848236084, 'loss/lm_loss': 0.3496060848236084, 'epoch': 0.13}
{'loss': 1.267, 'grad_norm': 7.625686168670654, 'learning_rate': 9.992510779937968e-05, 'loss/total_loss': 0.3515298843383789, 'loss/lm_loss': 0.3515298843383789, 'epoch': 0.14}
{'loss': 1.3623, 'grad_norm': 8.582895278930664, 'learning_rate': 9.992132536500493e-05, 'loss/total_loss': 0.340193510055542, 'loss/lm_loss': 0.340193510055542, 'epoch': 0.14}
{'loss': 1.1458, 'grad_norm': 6.415549278259277, 'learning_rate': 9.991754293063015e-05, 'loss/total_loss': 0.30263419151306153, 'loss/lm_loss': 0.30263419151306153, 'epoch': 0.14}
{'loss': 1.2033, 'grad_norm': 5.757104396820068, 'learning_rate': 9.99137604962554e-05, 'loss/total_loss': 0.3274998188018799, 'loss/lm_loss': 0.3274998188018799, 'epoch': 0.14}
{'loss': 1.17, 'grad_norm': 7.306712627410889, 'learning_rate': 9.990997806188063e-05, 'loss/total_loss': 0.25285019874572756, 'loss/lm_loss': 0.25285019874572756, 'epoch': 0.15}
{'loss': 1.1479, 'grad_norm': 7.806107997894287, 'learning_rate': 9.990619562750587e-05, 'loss/total_loss': 0.28258523941040037, 'loss/lm_loss': 0.28258523941040037, 'epoch': 0.15}
{'loss': 1.1318, 'grad_norm': 6.680844306945801, 'learning_rate': 9.990241319313111e-05, 'loss/total_loss': 0.2690500020980835, 'loss/lm_loss': 0.2690500020980835, 'epoch': 0.15}
{'loss': 1.0398, 'grad_norm': 5.596285343170166, 'learning_rate': 9.989863075875634e-05, 'loss/total_loss': 0.26021909713745117, 'loss/lm_loss': 0.26021909713745117, 'epoch': 0.15}
{'loss': 1.1466, 'grad_norm': 4.35917329788208, 'learning_rate': 9.989484832438157e-05, 'loss/total_loss': 0.2640520095825195, 'loss/lm_loss': 0.2640520095825195, 'epoch': 0.15}
{'loss': 1.084, 'grad_norm': 4.480339527130127, 'learning_rate': 9.989106589000681e-05, 'loss/total_loss': 0.2731693983078003, 'loss/lm_loss': 0.2731693983078003, 'epoch': 0.16}
